company;ano;mes;valorNota;valorTotalFaturamento
9982344b22000dcfc97cdc33c3c0039d286be0a47ffbbac10a49778b73a0d071;2021;8;80061.3525;80061.35250000001
5df97ac7ee51d36d3e66f389976e3b1da0118406d43dca53880b47986b356162;2021;8;39303.24;39303.240000000005
8ee9dce4510479f9e153df273e778e86ee30b54a2fcd4e5f9473ecfc4bed2dd2;2021;8;474218.1;871153.0425
45ac39e1a39ddd2bed9be802bc751e79d126ca2d5603e4e127853b9935630450;2022;3;42239.7225;126719.17500000002
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;2022;3;17231.31;1058806.1625
0ab6396c04f71b461d43bb48b3a7cacffcc09252aacb1bd519cd1f2ba5ba6cbe;2022;3;6217086.2475;6971135.182499999
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2022;3;542013.5325;2711369.19
0ab6396c04f71b461d43bb48b3a7cacffcc09252aacb1bd519cd1f2ba5ba6cbe;2022;3;555700.4025;6971135.182499999
45ac39e1a39ddd2bed9be802bc751e79d126ca2d5603e4e127853b9935630450;2022;3;42239.7225;126719.17500000002
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;2022;3;638497.3425;1058806.1625
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2022;3;181076.5575;2711369.19
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2022;3;18436.095;2711369.19
4f3127408ba23b9ad93d27baa364e51c116045a811ac96d75769dcd8f6b8d8c6;2022;3;476571.315;3326562.7275
13e8029d70913f8483aa06a67dc0a7c8bc8f0810938e8c2fe459f8b78a537d7f;2022;3;46208.0025;64371.9
8ee9dce4510479f9e153df273e778e86ee30b54a2fcd4e5f9473ecfc4bed2dd2;2021;8;396934.9425;871153.0425
a88f77fbb1b9bc0c9f4c8a2d650e240c818fba02c7cf37151af6b594c7b519a3;2022;3;1206486.1875;1254096.12
0ab6396c04f71b461d43bb48b3a7cacffcc09252aacb1bd519cd1f2ba5ba6cbe;2022;3;2277532.8;6971135.182499999
13e8029d70913f8483aa06a67dc0a7c8bc8f0810938e8c2fe459f8b78a537d7f;2022;3;1163.2875;64371.9
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2022;3;10778.0175;2711369.19
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2022;3;13756.29;2711369.19
a88f77fbb1b9bc0c9f4c8a2d650e240c818fba02c7cf37151af6b594c7b519a3;2022;3;47609.9325;1254096.12
13e8029d70913f8483aa06a67dc0a7c8bc8f0810938e8c2fe459f8b78a537d7f;2022;3;5852.6025;64371.9
50bdd24c92af81413731444c4985ace3032a2b4b34b389cb4c0d9fbd8deecb84;2022;3;308.8125;24906.3975
a2f2a2628fb145a8a6128f57ba023efec5d552f2d1ec7f3ec88d03434411720e;2022;3;134564.58;134564.58000000002
c487b40198cff7144798ee944048134f16709935dea124b2b28ed244cb568bcf;2022;3;2723.0025;114712.755
3a80a0add00aa05156487dc5bceb0f1647bb80425a4f03bf77193f110a98766f;2022;3;42867.8025;66215.9025
86bb5ba0b4dcb6cdb3fa4735d0768c6876cdb5750fda5fefbdccf9ed9e91119f;2022;3;24913.14;35684.85
3a80a0add00aa05156487dc5bceb0f1647bb80425a4f03bf77193f110a98766f;2022;3;23348.1;66215.9025
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;2022;3;3114.9375;1058806.1625
c487b40198cff7144798ee944048134f16709935dea124b2b28ed244cb568bcf;2022;3;14440.35;114712.755
955ea904d2c0dce593d3b5bff11ff99fc9dd25d69aee1b234c31acb060c7a299;2022;3;35853.6225;1058806.1625
45ac39e1a39ddd2bed9be802bc751e79d126ca2d5603e4e127853b9935630450;2022;3;42239.73;126719.17500000002
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2022;3;3315.1725;2711369.19
3d39e570b623e785da6a4c1cbf6afcf8bedb68e4bbf1167b8b5a90a6192c7b57;2022;3;57446.3625;172339.08750000002
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2022;3;1567932.96;2711369.19
43261d5727c06339359c5f0aace80318821cac1141a039987b63b6a1a64bdd36;2022;3;712268.8875;1540486.5374999999
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;2022;3;183646.9725;2711369.19
0dd25a9acdbefa7af129a692af0ab2b06fdcaa48a9d43228d347c2f25f94657f;2021;8;42837.81;128513.42249999999
0dd25a9acdbefa7af129a692af0ab2b06fdcaa48a9d43228d347c2f25f94657f;2021;8;42837.8025;128513.42249999999
0dd25a9acdbefa7af129a692af0ab2b06fdcaa48a9d43228d347c2f25f94657f;2021;8;42837.81;128513.42249999999
86bb5ba0b4dcb6cdb3fa4735d0768c6876cdb5750fda5fefbdccf9ed9e91119f;2021;8;25909.095;36886.402500000004
2cad427f444c0a78b7528ce4b19d2785717093455a5f7c06a3bb25335a05133a;2021;3;8390063.6025;8566387.934999999
fde1d4640db25c634a26baf70376b7817765e0e53ee972e7d359a23e10ba00f7;2021;3;15352.2825;15352.282500000001
bac2ea73eff76151887853ea0513bcceba99078c5efc7e96d31ae9a3880dd2ed;2021;3;4170636.3525;5356336.3125
372e531e017d0fbde3baf3e367f1ecb1e63effe9d32a24913fd39ac2fd0adfd7;2021;3;11912.4225;35737.2525
372e531e017d0fbde3baf3e367f1ecb1e63effe9d32a24913fd39ac2fd0adfd7;2021;3;11912.415;35737.2525
372e531e017d0fbde3baf3e367f1ecb1e63effe9d32a24913fd39ac2fd0adfd7;2021;3;11912.415;35737.2525
2cad427f444c0a78b7528ce4b19d2785717093455a5f7c06a3bb25335a05133a;2021;3;61712.9475;8566387.934999999
2cad427f444c0a78b7528ce4b19d2785717093455a5f7c06a3bb25335a05133a;2021;3;114611.385;8566387.934999999
